ID,STUDY_YEAR,VISITAGE,SEX_1,SEX,SPAYED/NUTER Y/N,CALENDARYEAR,BODYFAT,BCS,PBCS,WEIGHT_KG,DIET_CLASS,RAWCOOK,PCT_HOMEMADE,HOW_STORE,HOW_STORE_O,ORIGINAL CONTAINER Y/N,WHERE_STORE,CLIMATE CONTROL Y/N,BRAND,BRAND/COMPANY (CLEANED),PARENT COMPANY,PERSCRIPTION Y/N,OTC THERAPEUTIC,DOG FOOD (COMMERCIAL OR HOMEMADE) Y/N,COMMERCIAL DOG TREAT Y/N,COMMERCIAL SUPPLEMENT ADDITION Y/N,FEEDFORM,FEEDTYPE,PROCESS CATEGORY,PROCESS SUBTYPE,PCTDIET,FEEDFREQ,FEEDAMT,FEEDAMTUNIT,GACPROT,GACFAT,GACFIBER,GACMOIST,FEEDLONG,FEEDLONGUNIT,FEEDAGE,FEEDAGEUNIT,STLLUSE,STARTDT,ENDDT
grlsHHXWQ5DD,7,7.8,Male Neutered,Male,Y,2021,NA,NA,7,44.9057,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Duck & potato,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),24,14,5,10,NA,NA,NA,NA,Yes,2020-2-00,NA
grlsHHXWQ5DD,8,8.9,Male Neutered,Male,Y,2022,NA,NA,7,43.9985,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Duck & potato ,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),24,14,5,10,NA,NA,NA,NA,Yes,2020-1-00,NA
grlsJZ2T2EKK,8,8.6,Male Neutered,Male,Y,2022,NA,NA,5,33.5659,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,LAmb and Rice,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),21,12,4,10,NA,NA,NA,NA,Yes,2022-1-00,NA
grlsMI3ZSXFF,8,8.6,Male Neutered,Male,Y,2021,NA,NA,5,35.8338,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Adult Large Breed,Dry,Ultra Processed,CUP-D,NA,1 per day,3,Cup(s),24,12,4,10,NA,NA,NA,NA,Yes,2022-1-00,NA
grlsMI3ZSXFF,9,9.6,Male Neutered,Male,Y,2022,NA,NA,NA,NA,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Mature adult,Dry,Ultra Processed,CUP-D,NA,1 per day,2,Cup(s),20,10,4.5,10,NA,NA,NA,NA,Yes,2022-5-00,NA
grlsVN3MJIYY,8,10.2,Male Intact,Male,N,2022,NA,NA,5,36.2874,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,CHICKEN AND RICE,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),26,16,4,10,NA,NA,NA,NA,Yes,2022-1-00,NA
grls4N0D24CC,7,9.2,Female Spayed,Female,Y,2020,NA,NA,5,24.494,Commercial Dog Food,,NA,Plastic Container,,N,Garage,N,4Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Salmon & Potato adult dog dry,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),25,14,3,10,NA,NA,NA,NA,Yes,2020-11-00,NA
grlsPDRIOFQQ,6,7.9,Female Spayed,Female,Y,2020,NA,NA,7,41,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Salmon $ Potato,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),25,14,3,10,NA,NA,NA,NA,Yes,2019-12-00,NA
grls76SMG511,8,8.8,Male Neutered,Male,Y,2021,NA,NA,6,37.3307,Both,Raw,0.25,Original Container,,Y,Garage,N,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Wholesome Grains Red Meat,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),27,17,6,12,NA,NA,NA,NA,No,2021-4-00,2021-6-00
grlsDEMKZM88,7,8.1,Female Spayed,Female,Y,2021,NA,NA,6,29.3021,Commercial Dog Food,,NA,Original Container,,Y,Garage,N,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,duck/pumpkin,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),27,17,6,12,NA,NA,NA,NA,Yes,2020-11-00,NA
grlsDEMKZM88,8,9.1,Female Spayed,Female,Y,2022,NA,NA,6,30.3,Commercial Dog Food,,NA,Original Container,,Y,Garage,N,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Lamb and Pumpkin,Dry,Ultra Processed,CUP-D,NA,2 per day,6,Oz,27,17,6,12,NA,NA,NA,NA,Yes,2020-11-00,NA
grlsF9GY3088,7,8.5,Female Spayed,Female,Y,2020,NA,NA,6,26.6,Commercial Dog Food,,NA,Original Container,,Y,Garage,N,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,dried kibble,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),27,17,6,12,NA,NA,NA,NA,Yes,2018-3-00,NA
grls3ZQTDJ11,7,7.7,Male Intact,Male,N,2020,NA,NA,5,37.7389,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Grasslands,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),33,17,6,12,NA,NA,NA,NA,Yes,2020-10-00,NA
grls4WD6UGG,8,9.5,Male Neutered,Male,Y,2020,NA,NA,4,32.3865,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Kentucky Farmlands with wholesome grains,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),31,17,6,12,NA,NA,NA,NA,Yes,2020-9-00,NA
grls5HZ84SHH,7,7.5,Male Neutered,Male,Y,2021,NA,NA,5,30.0732,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Wholesome Grains Free Run Poultry,Dry,Ultra Processed,CUP-D,NA,2 per day,5,Oz,27,17,6,12,NA,NA,NA,NA,Yes,2020-6-00,NA
grls5R6O5YQQ,7,9.5,Male Neutered,Male,Y,2021,NA,NA,5,30.9804,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Meadowland ,Dry,Ultra Processed,CUP-D,NA,3+ per day,1,Cup(s),33,17,6,12,NA,NA,NA,NA,Yes,2014-1-00,NA
grlsOJ8KLP22,7,7.6,Female Spayed,Female,Y,2020,NA,NA,5,24.2672,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Wild Atlantic,Dry,Ultra Processed,CUP-D,NA,2 per day,5,Oz,33,17,6,12,NA,NA,NA,NA,No,2020-9-00,NA
grlsUI65W8ZZ,7,9,Male Intact,Male,N,2021,NA,NA,5,36.2874,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Freshwater Fish,Dry,Ultra Processed,CUP-D,NA,Free feed,3,Cup(s),29,17,6,12,NA,NA,NA,NA,Yes,2021-4-00,NA
grls8G7GBZ88,7,7.5,Female Spayed,Female,Y,2021,NA,NA,6,35.5617,Commercial Dog Food,,NA,Other,metal container,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Duck and Pear,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),31,17,5,12,NA,NA,NA,NA,Yes,2021-3-00,NA
grlsS7FSWYRR,8,9.8,Male Neutered,Male,Y,2021,NA,NA,5,35.5617,Commercial Dog Food,,NA,Other,plastic inside sealed stainless steel,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Grain inclusive poultry,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),27,17,6,12,NA,NA,NA,NA,Yes,2020-9-00,NA
grlsS7FSWYRR,7,8.9,Male Neutered,Male,Y,2020,NA,NA,6,36.2874,Commercial Dog Food,,NA,Other,Simple Human Stainless steel container with plastic insert,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Wholesome Grains Free-run Poultry,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),27,17,6,12,NA,NA,NA,NA,Yes,2020-8-00,NA
grls3BH9HUCC,7,9,Female Spayed,Female,Y,2021,NA,NA,NA,NA,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Lamb and Apple,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),31,17,5,12,NA,NA,NA,NA,No,2021-3-00,2021-4-00
grls8SLL4944,6,7.6,Female Spayed,Female,Y,2021,NA,NA,NA,23.5868,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Red Meat,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),29,17,6,12,NA,NA,NA,NA,Yes,2020-11-00,NA
grls8SLL4944,7,8.3,Female Spayed,Female,Y,2021,NA,NA,5,22.725,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Red Meat,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),29,17,6,12,NA,NA,NA,NA,Yes,2020-11-00,NA
grlsD8OGRRDD,8,8.5,Female Spayed,Female,Y,2022,NA,NA,7,28.4856,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Wholesome Grains free-Run Poultry,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),27,17,6,12,NA,NA,NA,NA,Yes,2022-3-00,NA
grlsNP2GOS33,6,7.6,Female Spayed,Female,Y,2021,NA,NA,7,34.2916,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Red meat,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),29,17,6,12,NA,NA,NA,NA,No,2020-4-00,2020-7-00
grlsRCV90I33,6,8.1,Male Neutered,Male,Y,2021,NA,NA,NA,33.9287,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Red Meat,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),29,17,6,12,NA,NA,NA,NA,Yes,2020-12-00,NA
grlsRCV90I33,7,8.8,Male Neutered,Male,Y,2021,NA,NA,5,31.7061,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,red meat,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),29,17,6,12,NA,NA,NA,NA,Yes,2021-11-00,NA
grlsSCKQN7GG,9,10.1,Male Intact,Male,N,2022,NA,NA,5,26.8527,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Adult chicken meal and brown rice formula ,Dry,Ultra Processed,CUP-D,NA,1 per day,2,Cup(s),23,10,4,10,NA,NA,NA,NA,Yes,2021-9-00,NA
grlsSEOXLCQQ,7,8,Male Neutered,Male,Y,2021,NA,NA,5,29.0299,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Free Run Poultry and whole grains,Dry,Ultra Processed,CUP-D,NA,2 per day,4,Oz,27,17,6,12,NA,NA,NA,NA,No,2021-10-00,NA
grlsXC3VFX77,7,7.6,Male Neutered,Male,Y,2021,NA,NA,6,24.7,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Wholesome Grains Red Meat Recipe,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),-27,17,6,12,NA,NA,NA,NA,Yes,2021-5-00,NA
grlsZSMLMUPP,6,6.5,Male Neutered,Male,Y,2020,NA,NA,5,35.471,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,limited ingredient beef and pumpkin,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),31,17,5,12,NA,NA,NA,NA,Yes,2020-9-00,NA
grlsZSMLMUPP,7,7.5,Male Neutered,Male,Y,2021,NA,NA,NA,NA,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,Duck with wholesome grains & pumpkin,Dry,Ultra Processed,CUP-D,NA,1 per day,1,Cup(s),27,17,6,12,NA,NA,NA,NA,Yes,2021-8-00,NA
grls6ZMXKHGG,6,6.4,Female Spayed,Female,Y,2020,NA,NA,6,27.8506,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-unheated,N,Acana,Acana,Champion Pet Foods,N,N,Y,N,N,poultry,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),29,17,6,12,NA,NA,NA,NA,Yes,2020-10-00,NA
grls71IO1144,7,7.5,Female Spayed,Female,Y,2021,NA,NA,6,27.2156,Commercial Dog Food,,NA,Other,stainless contqiner with plastic liner,N,Indoors-room temperature,Y,Adirondack ,Adirondack,BrightPet Nutrition Group,N,N,Y,N,N,dry,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),23,12,4,10,NA,NA,NA,NA,Yes,2019-6-00,NA
grlsM8MSLAAA,6,6.4,Female Spayed,Female,Y,2020,NA,NA,NA,21.1374,Commercial Dog Food,,NA,Original Container,,Y,Freezer,Y,AllProvide,All Provide,All Provide,N,N,Y,N,N,Beef,Raw,Processed,CP-C,NA,2 per day,6,Oz,14.5,13.3,0.8,64.6,NA,NA,NA,NA,No,2019-11-00,2019-12-00
grlsM8MSLAAA,7,7.5,Female Spayed,Female,Y,2021,NA,NA,3,19.5045,Commercial Dog Food,,NA,Original Container,,Y,Freezer,Y,AllProvide,All Provide,All Provide,N,N,Y,N,N,Beef,Raw,Processed,CP-C,NA,3+ per day,4,Oz,14.5,13.3,0.8,64.4,NA,NA,NA,NA,Yes,2021-10-00,NA
grlsRS38IETT,6,6.6,Male Neutered,Male,Y,2020,NA,NA,4,24.2219,Commercial Dog Food,,NA,Original Container,,Y,Freezer,Y,AllProvide,All Provide,All Provide,N,N,Y,N,N,Beef & Vegies,Raw,Processed,CP-C,NA,2 per day,8,Oz,14.5,13.3,0.8,64.4,NA,NA,NA,NA,Yes,2020-6-00,NA
grls9DKH3N88,8,8.5,Male Neutered,Male,Y,2022,NA,NA,5,31.6608,Commercial Dog Food,,NA,Original Container,,Y,Refrigerator,Y,AllProvide,All Provide,All Provide,N,N,Y,N,N,beef,Raw,Processed,CP-C,NA,3+ per day,6,Oz,14.5,13.3,0.8,64.4,NA,NA,NA,NA,No,2021-2-00,2021-3-00
grlsW1UT6NN,6,7,Male Neutered,Male,Y,2021,NA,NA,5,34.9267,Commercial Dog Food,,NA,Other,refrigerator after it is opened,Y,Refrigerator,Y,Alpo,Alpo,Nestle Purina PetCare Company,N,N,Y,N,N,London Grill,Canned,Ultra Processed,CUP-W,NA,1 per day,3,Oz,10,3,1.5,80,NA,NA,NA,NA,No,2020-1-00,2020-8-00
grlsP3NUUGQQ,6,6.6,Male Neutered,Male,Y,2021,NA,NA,5,30.935,Commercial Dog Food,,NA,Other,Wooden container,N,Indoors-room temperature,Y,American Journey,American Journey,Chewy Inc.,N,N,Y,N,N,Active Life,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),25,15,6,10,NA,NA,NA,NA,Yes,2018-1-00,NA
grlsP3NUUGQQ,7,7.6,Male Neutered,Male,Y,2021,NA,NA,5,32.568,Commercial Dog Food,,NA,Other,wooden container,N,Indoors-room temperature,Y,American Journey,American Journey,Chewy Inc.,N,N,Y,N,N,All Life Stages Active Life,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),25,15,6,10,NA,NA,NA,NA,Yes,2018-1-00,NA
grlsBF7BE966,6,6.6,Female Spayed,Female,Y,2021,NA,NA,3,26.5352,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,American Journey,American Journey,Chewy Inc.,N,N,Y,N,N,"Large Breed Active Salmon, Brown Rice and Vegetables",Dry,Ultra Processed,CUP-D,NA,2 per day,4,Oz,24,12,6,10,NA,NA,NA,NA,Yes,2020-10-00,NA
grlsCR9BWCVV,7,8.6,Female Spayed,Female,Y,2021,NA,NA,7,41.277,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,American Journey,American Journey,Chewy Inc.,N,N,Y,N,N,Salmon & Sweet Potato Recipe Grain-Free Dry Dog Food,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),32,14,5,10,NA,NA,NA,NA,No,2019-12-00,2020-11-00
grlsRBKQCTTT,9,10.6,Male Intact,Male,N,2022,NA,NA,5,30.7536,Both,Raw,80,Original Container,,Y,Indoors-room temperature,Y,American Natural,American Natural Premium,American Natural Premium,N,Y,Y,N,N,sensitive,Dry,Ultra Processed,CUP-D,NA,2-4 per week,2,Cup(s),22,11,6,10,NA,NA,NA,NA,Yes,2022-2-00,NA
grlsVBZCK688,7,8.7,Male Neutered,Male,Y,2021,NA,NA,6,39.9162,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,American Natural,American Natural Premium,American Natural Premium,N,Y,Y,N,N,Sensitive,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),22,11,3.5,10,NA,NA,NA,NA,Yes,2021-3-00,NA
grlsVBZCK688,8,9.8,Male Neutered,Male,Y,2022,NA,NA,8,39.4626,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,American Natural,American Natural Premium,American Natural Premium,N,Y,Y,N,N,Sensitive,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),22,11,6,10,NA,NA,NA,NA,Yes,2022-3-00,NA
grls27Z1P2NN,6,6.6,Female Spayed,Female,Y,2021,NA,NA,7,35.4256,Commercial Dog Food,,NA,Other,Wooden feeder box,N,Indoors-room temperature,Y,American Natural,American Natural Premium,American Natural Premium,N,N,Y,N,N,Ocean & fish meal,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),28,15,6,10,NA,NA,NA,NA,Yes,2021-2-00,NA
grls3JBT2T99,7,9,Male Neutered,Male,Y,2022,NA,NA,5,27.3063,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,American Natural,American Natural Premium,American Natural Premium,N,N,Y,N,N,Fish,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),24,14,4,10,NA,NA,NA,NA,Yes,2022-1-00,NA
