"ID","STUDY_YEAR","diagnosis_date","tracked_condition","phenotype","status","tier_of_confidence","is_cause_of_death","is_recurrence","is_adjudicated"
"grls0Z1UD211",6,2020-06-29,"Mast cell tumor - cutaneous","1_low","definitive",1,0,0,0
"grls0Z1UD211",7,2021-06-18,"Mast cell tumor - subcutaneous","not_typed","final",1,0,0,1
"grls0Z1UD211",8,2022-07-06,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls0Z1UD211",8,2022-07-06,"Plasma cell tumor","","final",1,0,0,1
"grls0Z1UD211",8,2021-12-02,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,0
"grls11BBNP",8,2020-12-09,"CNS symptoms","","presumptive",3,1,0,1
"grls12ZDDU",3,2017-02-03,"Carcinoma - other/not specified","","final",1,1,0,1
"grls1495QP66",4,2019-11-14,"Mast cell tumor - subcutaneous","low","final",1,0,0,1
"grls1495QP66",6,2021-06-10,"Mast cell tumor - other/not specified","2_high","final",1,0,0,1
"grls1495QP66",6,2021-11-30,"Mast cell tumor - cutaneous","3_high","final",1,0,0,1
"grls1495QP66",6,2021-03-30,"Mast cell tumor - other/not specified","not_typed","definitive",1,0,0,0
"grls16FL8Z00",5,2020-07-30,"Lymphoma - multicentric","diffuse_large_b_cell","final",1,1,0,0
"grls16Y39PGG",6,2020-12-25,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls170XXJZZ",7,2021-07-06,"Cutaneous melanoma","","final",1,0,0,1
"grls1CTSI5XX",4,2019-05-25,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls1D4EMDQQ",6,2020-10-15,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,0
"grls1D4EMDQQ",7,2022-08-01,"Lymphoma - multicentric","t_zone","final",1,0,0,1
"grls1G2OMPTT",6,2021-06-01,"Carcinoma - other/not specified","","definitive",1,0,0,0
"grls1GIDJ588",3,2018-02-21,"Soft tissue sarcoma - other/not specified","2","final",1,0,0,1
"grls1JWEEY",6,2019-09-19,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls1JY77077",5,2020-12-04,"Carcinoma - neuroendocrine","","definitive",1,1,0,1
"grls1P6DGIWW",5,2020-04-14,"Histiocytic sarcoma","","definitive",2,1,0,0
"grls1SP9QVV",7,2022-02-26,"Hemangiosarcoma - cutaneous","","final",1,0,0,1
"grls1TCYF611",4,2019-10-04,"Leiomyosarcoma","","final",1,1,0,1
"grls1UDS7MJJ",7,2022-04-15,"Myocardial infarction","","presumptive",3,1,0,0
"grls1US5SPBB",9,2022-04-05,"Soft tissue sarcoma - other/not specified","1","final",1,0,0,1
"grls1W4Z888",8,2021-07-10,"Histiocytic sarcoma","","definitive",1,1,0,0
"grls1XT2PQ77",3,2017-08-04,"Hemangiosarcoma - cardiac","","final",1,1,0,1
"grls1XTARN88",7,2020-03-05,"Unknown","","presumptive",3,1,0,0
"grls1YLKGH66",5,2019-06-07,"Lymphoma - multicentric","peripheral_t_cell","final",1,1,0,1
"grls20EDCSKK",5,2018-08-31,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls20EDCSKK",8,2021-10-13,"Mast cell tumor - cutaneous","2_high","final",1,0,0,1
"grls25IJBODD",5,2020-07-30,"Mast cell tumor - cutaneous","2_low","presumptive",3,0,0,0
"grls2850N5JJ",2,2015-06-05,"Gallbladder mucocele","","definitive",1,1,0,0
"grls29HWHH77",6,2019-11-11,"Lymphoma - multicentric","peripheral_t_cell","definitive",1,1,0,1
"grls2AHBWF",6,2019-10-31,"Osteosarcoma - axial","","final",1,0,0,1
"grls2C2PTLPP",7,2022-08-01,"Carcinoma - mammary","2","final",1,0,0,1
"grls2D58M5PP",7,2022-02-28,"Hemangiosarcoma - splenic","","presumptive",2,1,0,0
"grls2DCZV5HH",0,2013-08-08,"Blastomycosis","","definitive",2,1,0,0
"grls2DOJIG44",2,2016-02-17,"Unknown","","definitive",3,1,0,0
"grls2E2MQW66",6,2020-01-18,"Hemangiosarcoma - splenic","","definitive",1,1,0,1
"grls2GP8NDYY",6,2020-09-12,"Mast cell tumor - cutaneous","2_low","presumptive",3,0,0,0
"grls2GP8NDYY",7,2021-09-14,"Malignant melanoma","","definitive",1,1,0,0
"grls2GWGQGHH",5,2019-02-25,"Lymphoma - multicentric","not_typed","presumptive",3,1,0,1
"grls2IYOWC33",6,2021-02-15,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls2JD757FF",6,2021-05-06,"Thymoma","","final",2,1,0,1
"grls2JD757FF",7,2022-05-06,"Thymoma","","definitive",2,0,0,0
"grls2JIWZ3TT",7,2021-11-03,"Soft tissue sarcoma - other/not specified","1","final",1,0,0,1
"grls2KOUK9KK",8,2022-07-28,"Lymphoma - multicentric","t_zone","definitive",1,0,0,0
"grls2KYD04OO",7,2021-02-10,"Soft tissue sarcoma - other/not specified","2","final",1,0,0,1
"grls2KYD04OO",7,2021-09-01,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls2PGPY0RR",2,2016-09-07,"Chronic renal disease","","final",1,1,0,1
"grls2Q386M99",7,2021-05-04,"Soft tissue sarcoma - other/not specified","not_typed","final",1,0,0,1
"grls2QGMRPRR",5,2019-03-25,"Lymphoma - gastrointestinal","peripheral_t_cell","final",1,1,0,1
"grls2RMKS800",6,2019-03-29,"Soft tissue sarcoma - fibrosarcoma","low","definitive",2,1,0,1
"grls2S3J1K66",9,2022-06-15,"Mast cell tumor - cutaneous","2_high","definitive",1,0,0,0
"grls2UBPOZ",4,2019-01-09,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls2WI1KSTT",3,2017-12-22,"Trauma - fire","","definitive",3,1,0,0
"grls31NHC5QQ",5,2018-08-31,"Soft tissue sarcoma - other/not specified","1","final",1,0,0,1
"grls31NHC5QQ",5,2019-02-25,"Hemangiosarcoma - cardiac","","definitive",1,1,0,1
"grls32DCESEE",4,2018-07-20,"Histiocytic sarcoma","","final",1,1,0,1
"grls33GPTGJJ",5,2020-09-19,"Lymphoma - multicentric","diffuse_large_b_cell","definitive",1,0,0,1
"grls33GPTGJJ",6,2021-03-15,"Lymphoma - cutaneous","not_typed","definitive",1,0,1,0
"grls33GPTGJJ",7,2022-02-26,"Myocarditis","","final",1,1,0,1
"grls344FHT22",6,2019-07-19,"Nasal sarcoma","","final",1,1,0,1
"grls35EKPBEE",7,2020-12-14,"Osteosarcoma - appendicular","","final",1,1,0,1
"grls35S9K3WW",9,2022-03-22,"Osteosarcoma - other/unspecified","","presumptive",2,1,0,0
"grls365KZSUU",6,2020-05-30,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,0
"grls365KZSUU",7,2021-03-08,"Mast cell tumor - cutaneous","not_typed","presumptive",2,0,0,0
"grls365KZSUU",7,2021-10-12,"Mast cell tumor - cutaneous","not_typed","definitive",1,0,0,0
"grls365KZSUU",8,2022-01-20,"Mast cell tumor - cutaneous","3_high","final",1,1,0,1
"grls365KZSUU",8,2022-01-20,"Mast cell tumor - cutaneous","3_high","definitive",1,0,0,1
"grls36KMYA77",6,2020-06-25,"Meibomian gland epithelioma","","definitive",1,0,0,0
"grls3EXUCLEE",6,2019-04-17,"Unknown","","presumptive",3,1,0,1
"grls3GJ1T5BB",6,2022-01-13,"Carcinoma - squamous cell","","final",1,1,0,1
"grls3GLTTX00",8,2021-12-31,"Pancreatitis","","final",1,1,0,1
"grls3HHDXHWW",8,2022-03-14,"Hemangiosarcoma - cardiac","","presumptive",3,1,0,0
"grls3HMHXDKK",6,2020-03-16,"Lymphoma - gastrointestinal","t_cell","final",1,1,0,1
"grls3I4TC288",8,2021-11-12,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls3I71NHGG",6,2021-03-30,"Lymphoma - other/not specified","not_typed","presumptive",3,1,0,0
"grls3IQ5U900",7,2020-10-29,"Hemangiosarcoma - splenic","","definitive",1,1,0,0
"grls3JKR08II",1,2014-05-15,"Trauma - hit by car","","definitive",3,1,0,0
"grls3JM16ZZZ",5,2019-12-14,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,1
"grls3K8L4QEE",8,2022-05-16,"Carcinoma - apocrine ductal","","definitive",1,0,0,1
"grls3L76FSS",9,2021-12-19,"Meningioma","1","final",1,1,0,1
"grls3LH13433",5,2020-07-18,"CNS symptoms","","presumptive",3,1,0,0
"grls3MRP58VV",6,2020-07-07,"Hemangiosarcoma - cardiac","","definitive",1,1,0,0
"grls3N5D0C33",3,2017-12-20,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls3PGST4EE",1,2015-08-20,"Lymphoma - multicentric","diffuse_large_b_cell","definitive",1,0,0,0
"grls3PGST4EE",3,2018-06-18,"Congestive heart failure","","definitive",2,1,0,1
"grls3PGST4EE",3,2018-04-30,"Carcinoma - nasal","","definitive",1,0,0,0
"grls3PH06YZZ",1,2015-08-13,"Trauma - heat stroke","","definitive",3,1,0,0
"grls3QVAHF11",8,2021-10-17,"Hemangiosarcoma - cardiac","","presumptive",2,1,0,0
"grls3TP3YZQQ",6,2020-05-29,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls3U5V4NBB",7,2021-01-25,"Soft tissue sarcoma - myxosarcoma","1","final",1,0,0,1
"grls3U5V4NBB",7,2021-01-25,"Malignant trichoepithelioma","","final",1,0,0,1
"grls3US5YZJJ",4,2019-05-27,"Pleural effusion","","definitive",3,1,0,0
"grls3XTNPQTT",7,2021-03-09,"Leukemia","acute_myeloid_leukemia","definitive",1,1,0,0
"grls405NWMQQ",2,2016-08-10,"Histiocytic sarcoma","","final",1,1,0,1
"grls40UEVBZZ",6,2022-01-02,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls41KXYJXX",8,2022-07-15,"Vestibular disease","","presumptive",3,1,0,0
"grls43D0DWTT",7,2022-06-23,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls442TB755",6,2020-07-22,"Hemangiosarcoma - cardiac","","definitive",1,1,0,0
"grls44G5RDKK",4,2018-04-08,"Hemangiosarcoma - cutaneous","","final",1,0,0,1
"grls44G5RDKK",4,2018-09-12,"Lymphoma - multicentric","not_typed","definitive",2,0,0,1
"grls44G5RDKK",4,2018-10-01,"Sepsis","","definitive",1,1,0,0
"grls44MCF9HH",2,2015-10-19,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls44MCF9HH",7,2020-05-15,"Adenocarcinoma - exocrine pancreatic","","definitive",1,1,0,1
"grls45CVROHH",3,2017-05-30,"Soft tissue sarcoma - fibrosarcoma","1","definitive",1,0,0,0
"grls45CVROHH",7,2021-09-30,"Carcinoma - thyroid","","definitive",2,0,0,0
"grls45CVROHH",8,2022-06-07,"Histiocytic sarcoma","","final",1,1,0,1
"grls4682PDD",0,2014-12-04,"Lymphoma - multicentric","b_cell","definitive",1,1,0,0
"grls47042K22",7,2021-08-07,"Hemangiosarcoma - splenic","","definitive",1,1,0,1
"grls48JENUHH",7,2022-08-23,"Hemangiosarcoma - other/not specified","","final",1,1,0,1
"grls4B6MVFSS",6,2021-03-17,"Carcinoma - other/not specified","","definitive",1,1,0,0
"grls4BWUAF88",9,2022-07-16,"Renal failure","","presumptive",3,1,0,0
"grls4DNO53YY",5,2020-09-01,"Microsystem exposure","","presumptive",3,1,0,0
"grls4ECUQR11",4,2018-09-25,"Soft tissue sarcoma - fibrosarcoma","3","final",1,1,0,1
"grls4EIELLL",1,2016-03-01,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,1
"grls4EIELLL",4,2018-08-13,"Cardiomyopathy - dilated","","presumptive",3,1,0,0
"grls4EZBX0GG",9,2022-02-28,"Malignant melanoma","","final",1,1,0,1
"grls4HGXB5CC",4,2018-03-06,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls4J747PUU",5,2020-04-16,"Mast cell tumor - subcutaneous","not_typed","definitive",1,0,0,1
"grls4J747PUU",5,2020-04-21,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,1
"grls4J747PUU",6,2020-12-15,"Lymphoma - multicentric","t_zone","final",1,0,0,1
"grls4JKVS2BB",7,2020-04-10,"Hemangiosarcoma - cardiac","","presumptive",2,1,0,0
"grls4KPIIIUU",5,2019-01-18,"Mast cell tumor - subcutaneous","low","final",1,0,0,1
"grls4KPIIIUU",5,2019-02-15,"Surgical complications","","presumptive",3,1,0,1
"grls4LWRXNKK",4,2018-02-09,"Indeterminate","","final",1,1,0,1
"grls4M9RF144",7,2020-07-16,"Lymphoma - multicentric","t_cell","final",1,1,1,1
"grls4NXSGXTT",7,2020-09-24,"Lymphoma - multicentric","diffuse_large_b_cell","final",1,1,0,1
"grls4OE3SCNN",7,2022-04-23,"Osteosarcoma - appendicular","","presumptive",2,0,0,1
"grls4Q4L3EDD",7,2020-01-29,"Soft tissue sarcoma - other/not specified","3","final",1,1,0,1
"grls4QLTUUDD",5,2019-11-12,"Hemangiosarcoma - visceral","","definitive",1,1,0,1
"grls4QMUYS99",5,2018-10-04,"Trauma - other/not specified","","definitive",3,1,0,0
"grls4V37K977",7,2021-03-16,"Sepsis","","final",1,1,0,1
"grls4XHMR99",5,2020-06-30,"Mast cell tumor - cutaneous","2_high","definitive",1,0,0,1
"grls4XHMR99",6,2021-05-27,"Mast cell tumor - cutaneous","3_high","final",1,1,1,1
"grls4XT6VO22",8,2022-05-31,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls4Z3O47CC",6,2019-10-22,"Leukemia","t_zone","final",1,0,0,1
"grls4Z3O47CC",7,2020-07-05,"Soft tissue sarcoma - synovial cell sarcoma","1","definitive",1,1,0,1
"grls4ZTLI2JJ",7,2021-11-09,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls54PZRMMM",1,2015-09-25,"Lymphoma - multicentric","diffuse_large_b_cell","final",1,1,0,1
"grls54QYO55",7,2022-07-26,"Lymphoma - multicentric","t_cell","final",2,1,0,1
"grls54WONKZZ",5,2020-03-16,"Lymphoma - multicentric","not_typed","final",1,1,0,1
"grls5663T6FF",2,2015-01-23,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls5663T6FF",7,2020-05-14,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls59G471TT",3,2016-11-21,"Mesenteric volvulus","","presumptive",1,1,0,0
"grls59HBPYNN",8,2021-08-19,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls5EAENJGG",7,2022-05-07,"Hemangiosarcoma - splenic","","definitive",1,1,0,0
"grls5EIKG100",6,2021-11-18,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls5FUZ8KBB",4,2017-12-11,"Soft tissue sarcoma - other/not specified","1","final",1,0,0,1
"grls5I2EVV77",8,2022-06-18,"Unknown neoplasia","","presumptive",2,0,0,1
"grls5I2EVV77",9,2022-07-13,"Hemangiosarcoma - cardiac","","final",1,1,0,1
"grls5JZQZUOO",1,2016-09-04,"Sepsis","","definitive",1,1,0,0
"grls5KRMWDUU",7,2021-08-21,"Hemangiosarcoma - cardiac","","presumptive",2,1,0,0
"grls5Q8YPTEE",5,2020-07-06,"Mast cell tumor - cutaneous","1_low","definitive",1,0,0,0
"grls5Q9DCLWW",6,2021-05-14,"Carcinoma - hepatocellular","","final",1,1,0,1
"grls5SCT2RNN",6,2021-05-29,"Hemangiosarcoma - visceral","","presumptive",2,1,0,0
"grls5TD8U6QQ",3,2016-07-13,"Malignant melanoma","low","final",1,0,0,1
"grls5TD8U6QQ",8,2021-12-13,"Soft tissue sarcoma - other/not specified","2","final",1,0,0,1
"grls5TD8U6QQ",8,2021-06-23,"Lymphoma - multicentric","t_zone","definitive",1,1,0,1
"grls5WX99411",6,2021-04-18,"Hemangiosarcoma - other/not specified","","final",1,1,0,1
"grls5XCVFHTT",7,2021-03-24,"Undifferentiated malignant neoplasm","","final",1,1,0,1
"grls5XHD544",7,2021-04-14,"Chondrosarcoma","","final",1,1,0,1
"grls5YPXBRXX",8,2021-10-10,"Indeterminate","","final",3,1,0,1
"grls605WYO22",8,2022-07-27,"Hemangiosarcoma - cardiac","","presumptive",3,1,0,0
"grls60PTJPGG",4,2017-11-26,"Granulomatous meningoencephalitis","","definitive",1,1,0,0
"grls63KWVPOO",5,2020-09-18,"Hemangiosarcoma - cutaneous","","definitive",1,0,0,0
"grls64EPIG88",4,2019-07-12,"Lymphoma - gastrointestinal","b_cell","final",1,1,0,1
"grls64JASD99",6,2020-04-29,"Soft tissue sarcoma - peripheral nerve sheath tumor","1","definitive",1,0,0,0
"grls680CAS33",7,2020-06-18,"Osteosarcoma - appendicular","","presumptive",2,1,0,0
"grls69OEY100",4,2019-06-22,"Chronic enteropathy","","presumptive",2,1,0,1
"grls6BWVSHKK",6,2021-12-15,"Osteosarcoma - other/unspecified","","final",1,1,0,1
"grls6JBFIH66",7,2021-09-22,"Soft tissue sarcoma - synovial cell sarcoma","","definitive",1,0,0,1
"grls6K12UGYY",8,2022-04-21,"Leukemia","t_zone","definitive",1,0,0,0
"grls6L5GEWII",6,2019-11-18,"Hemangiosarcoma - splenic","","presumptive",2,1,0,0
"grls6QM3ZGEE",4,2017-07-18,"Hemangiosarcoma - other/not specified","","definitive",1,1,0,1
"grls6RRHX4TT",6,2021-04-01,"Hemangiosarcoma - cardiac","","final",1,1,0,1
"grls6TMBXLHH",7,2022-05-12,"Hemangiosarcoma - splenic","","definitive",1,1,0,0
"grls6W6FNLOO",4,2017-11-15,"Lymphoma - gastrointestinal","not_typed","final",1,1,0,1
"grls6XAJBBKK",6,2022-01-31,"Histiocytic sarcoma","","final",1,1,0,1
"grls6ZGFMO99",4,2018-03-30,"Trauma - fire","","definitive",3,1,0,0
"grls70CT1KYY",4,2019-06-13,"Mast cell tumor - subcutaneous","low","definitive",1,0,0,1
"grls734CP6GG",8,2022-01-31,"Unknown neoplasia","","presumptive",3,1,0,0
"grls73WC42UU",1,2016-02-12,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls75DYUD22",6,2019-07-10,"Carcinoma - thyroid","","definitive",1,0,0,0
"grls7831P9BB",6,2020-04-15,"Unknown","","presumptive",3,1,0,0
"grls7A730Z22",9,2022-05-02,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls7AXC61II",8,2021-09-18,"Lymphoma - multicentric","t_cell","final",1,1,0,1
"grls7AXC61II",8,2021-09-18,"Splenic stromal sarcoma","","final",1,0,0,1
"grls7BDL80OO",7,2020-08-04,"Hemangiosarcoma - cardiac","","definitive",1,1,0,1
"grls7DPE0X77",1,2015-01-27,"CNS symptoms","","presumptive",3,1,0,1
"grls7I9S01RR",6,2020-03-11,"Lymphoma - multicentric","peripheral_t_cell","final",1,1,0,1
"grls7K6Z7LXX",3,2016-11-16,"Lymphoma - multicentric","diffuse_large_b_cell","final",1,1,0,1
"grls7K7O3OJJ",6,2019-10-14,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls7MGT13UU",6,2021-08-14,"Adenocarcinoma - other/not specified","","definitive",1,1,0,0
"grls7O2759MM",7,2022-08-17,"Carcinoma - squamous cell","","final",2,1,0,1
"grls7O56EF66",0,2014-09-21,"Trauma - hit by car","","definitive",3,1,0,0
"grls7P1KEJVV",6,2021-05-17,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls7P4NN355",7,2021-02-16,"Osteosarcoma - axial","","final",1,1,0,1
"grls7PXINLII",5,2020-01-25,"Unknown","","definitive",3,1,0,0
"grls7R3WBEEE",5,2018-12-13,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls7R3WBEEE",9,2022-07-23,"Hemangiosarcoma - cutaneous","","final",2,1,0,1
"grls7RFFFN33",6,2019-07-23,"Osteosarcoma - axial","","final",1,1,0,1
"grls7W3BTUSS",7,2021-07-12,"Carcinoma - choroid plexus","","final",1,1,0,1
"grls80BUDJKK",8,2021-09-21,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls83C2TLMM",5,2019-09-24,"Lymphoma - other/not specified","diffuse_large_b_cell","definitive",1,1,0,1
"grls83VQG44",9,2022-08-10,"Lymphoma - multicentric","not_typed","definitive",1,1,0,1
"grls85B5C844",8,2021-09-02,"Lymphoma - multicentric","t_zone","definitive",1,0,0,1
"grls88B2P9DD",7,2020-11-17,"Soft tissue sarcoma - other/not specified","3_high","final",1,1,0,1
"grls8EJ7OW99",8,2021-05-02,"Lymphoma - multicentric","peripheral_t_cell","final",1,1,0,1
"grls8FWJRAZZ",6,2021-01-26,"Lymphoma - multicentric","not_typed","definitive",1,1,0,1
"grls8HJGF3NN",7,2021-08-20,"Unknown neoplasia","","presumptive",3,1,0,0
"grls8J9DC77",3,2017-06-04,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls8M4HB3BB",4,2018-11-01,"Carcinoma - nasal","","definitive",1,1,0,1
"grls8P7Z4RUU",3,2017-12-08,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,0
"grls8P7Z4RUU",6,2020-10-20,"Hemangiosarcoma - cardiac","","definitive",1,1,0,0
"grls8R0VZMGG",7,2022-04-18,"Hemangiosarcoma - cardiac","","final",1,1,0,1
"grls8T32TPNN",4,2018-04-09,"Lymphoma - multicentric","not_typed","definitive",1,1,0,1
"grls8TUR3477",6,2021-03-05,"Hemangiosarcoma - other/not specified","","final",1,1,0,1
"grls8VMEW0YY",4,2018-06-29,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls8XI1BWCC",6,2020-02-29,"Hemangiosarcoma - cardiac","","presumptive",2,1,0,0
"grls90WV0NUU",5,2019-10-07,"Soft tissue sarcoma - other/not specified","1","definitive",1,0,0,0
"grls92KOGF00",6,2019-07-18,"Hemangiosarcoma - cardiac","","definitive",1,1,0,1
"grls92KYJ99",3,2018-07-29,"Unknown","","presumptive",3,1,0,0
"grls97GJL8II",7,2021-02-17,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls988OLG66",0,2015-01-28,"Carcinoma - basosquamous cell","not_typed","final",1,0,0,1
"grls98S1K544",8,2022-06-13,"Hemangiosarcoma - other/not specified","","presumptive",2,1,0,1
"grls99LNEEKK",7,2020-11-10,"Lymphoma - other/not specified","not_typed","definitive",1,0,0,1
"grls99LNEEKK",7,2021-06-24,"Malignant melanoma","","presumptive",3,1,0,0
"grls9BWN12DD",7,2022-08-09,"Cutaneous melanoma","","final",1,0,0,1
"grls9DKH3N88",6,2020-12-10,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls9EM622",8,2021-10-28,"Lymphoma - cutaneous","t_cell_other","final",3,0,0,1
"grls9EM622",8,2021-12-08,"CNS symptoms","","definitive",3,1,0,0
"grls9FFL6MEE",3,2019-02-28,"Lymphoma - multicentric","diffuse_large_b_cell","final",1,1,0,1
"grls9GMRJACC",4,2019-03-05,"Mast cell tumor - subcutaneous","not_typed","definitive",1,0,0,1
"grls9GMRJACC",6,2021-02-10,"Undifferentiated malignant neoplasm","","final",1,1,0,1
"grls9HB14OLL",7,2022-06-29,"Hemangiosarcoma - cardiac","","presumptive",3,1,0,0
"grls9HL5S11",4,2019-05-22,"Carcinoma - neuroendocrine","","final",1,1,0,1
"grls9I2EHEE",7,2021-03-01,"Carcinosarcoma - thyroid","","final",1,0,0,1
"grls9I2EHEE",7,2021-03-01,"Hemangiosarcoma - visceral","","final",1,1,0,1
"grls9INU92LL",6,2020-10-02,"Lymphoma - multicentric","t_zone","final",1,0,0,1
"grls9INU92LL",6,2020-12-15,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls9IT3JWBB",7,2021-09-08,"Hemangiosarcoma - visceral","","definitive",1,1,0,0
"grls9MYOR7II",7,2021-09-30,"Pulmonary edema","","presumptive",3,1,0,0
"grls9N307L55",1,2015-11-19,"Lymphoma - multicentric","not_typed","definitive",1,1,0,1
"grls9NWXF322",8,2022-07-28,"Lymphoma - multicentric","not_typed","definitive",1,1,0,0
"grls9NZ8HLWW",5,2017-12-13,"Hemangiosarcoma - cardiac","","definitive",1,1,0,0
"grls9PDGJLRR",6,2021-07-12,"Soft tissue sarcoma - other/not specified","","definitive",1,0,0,0
"grls9QYBMVCC",7,2022-06-15,"Hemangiosarcoma - visceral","","definitive",1,1,0,1
"grls9RUTVFMM",2,2017-09-27,"Histiocytic sarcoma","","final",1,1,0,1
"grls9T8KRFQQ",1,2015-07-24,"Unknown","","presumptive",3,1,0,1
"grls9TCORNYY",5,2020-05-27,"Acute collapse","","presumptive",3,1,0,1
"grls9U0PVBQQ",8,2022-05-24,"Obesity","","presumptive",3,1,0,0
"grls9UBFUUCC",6,2020-07-21,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,0
"grls9ZG7XWKK",8,2020-12-25,"CNS symptoms","","presumptive",3,1,0,0
"grls9ZOSMBXX",9,2022-05-22,"Hemangiosarcoma - splenic","","presumptive",3,1,0,0
"grlsA4CWD677",3,2018-11-05,"Lymphoma - multicentric","peripheral_t_cell","final",1,1,0,1
"grlsA71DQVVV",7,2022-04-03,"Pericardial effusion","","definitive",2,1,0,0
"grlsA7OKMPTT",2,2017-01-19,"Histiocytic sarcoma","","final",1,0,0,1
"grlsA8NCG6",3,2017-06-14,"Mast cell tumor - other/not specified","2_low","final",1,0,0,1
"grlsA8NCG6",6,2019-11-23,"Cardiomyopathy - dilated","","definitive",2,1,0,0
"grlsAGEYKUYY",6,2019-10-31,"Malignant pilomatricoma","","definitive",1,0,0,1
"grlsAIB7LTHH",7,2021-11-19,"Hemangiosarcoma - visceral","","final",1,1,0,1
